player_id	EFscore	RAA	Wins	series_id
CV Varun	0.057310803785727435	-77.68455902154903	-0.24870482649260903	ipl2026
R Powell	0.05608067819028472	70.74869289846623	0.22649985548622437	ipl2026
PJ Cummins	0.05575307179376868	-112.93586612308286	-0.3615608473897954	ipl2026
R Shepherd	0.05572451560591614	-117.56151967384983	-0.37636974092344216	ipl2026
JA Duffy	0.05562801541856643	17.315440978451022	0.055434874039693084	ipl2026
AJ Hosein	0.05437821443066535	48.502614203067594	0.15527969009215528	ipl2026
Shivang Kumar	0.0543394539386107	-226.56151967384983	-0.7253300289026097	ipl2026
P Nissanka	0.05191846716670413	-20.12826775383445	-0.06444005607247578	ipl2026
P Arya	0.04958208440433362	-23.566748079984848	-0.0754482495112294	ipl2026
Arshad Khan	0.04903697636780314	7.0641338769172535	0.022615616440481077	ipl2026
Ashwani Kumar	0.04897501733669022	81.87696065230071	0.26212667677142953	ipl2026
Shashank Singh	0.048113624158216024	-13.625653550766856	-0.043622128320917136	ipl2026
N Pooran	0.04786306865020769	-123.7539213046013	-0.3961945322661	ipl2026
SA Yadav	0.047613831196930266	-118.56674807998479	-0.37958795004353113	ipl2026
Shahbaz Ahmed	0.046952684166689	80.06413387691723	0.25632296527056564	ipl2026
DA Miller	0.04689976405064201	32.12303934769923	0.10284096386733259	ipl2026
JJ Bumrah	0.04601087163269084	-288.56151967384966	-0.9238212018815851	ipl2026
VR Iyer	0.04594169866228824	89.74869289846623	0.28732779559268473	ipl2026
HS Dubey	0.04556292294211598	-28.123039347699375	-0.09003508173965717	ipl2026
V Vyshak	0.045299783677722576	-51.68455902154892	-0.1654665926627155	ipl2026
WG Jacks	0.04343377804187108	-9.62565355076697	-0.03081624619324163	ipl2026
N Rana	0.04314887822808353	-66.50261420306765	-0.21290615966669688	ipl2026
A Mhatre	0.042846266527780806	51.93586612308272	0.16627114494273793	ipl2026
Mukesh Kumar	0.04132834296015728	-158.12303934769926	-0.5062262508891227	ipl2026
R Tewatia	0.041136138422867584	11.123039347699319	0.03561008269703454	ipl2026
SR Dubey	0.04105048649635212	61.064133876917225	0.19549502516410525	ipl2026
MJ Santner	0.040882293226527935	53.06413387691728	0.1698832609087537	ipl2026
Avesh Khan	0.04048031355137173	-109.93586612308263	-0.3519564357940378	ipl2026
AK Markram	0.03993009599120172	-87.50261420306754	-0.28013704083699487	ipl2026
M Tiwari	0.03963288504374925	59.251307101533826	0.1896913136632416	ipl2026
AR Sharma	0.039255875540727174	51.74869289846623	0.165671915379764	ipl2026
XC Bartlett	0.03881255091808424	-222.74869289846623	-0.7131233763379075	ipl2026
Suryansh Shedge	0.037093513769997206	38.7486928984662	0.12405279846481732	ipl2026
MD Choudhary	0.036605417531718754	-8.876960652300681	-0.02841932794134481	ipl2026
Q de Kock	0.03536960850230942	72.37434644923312	0.23170433742411398	ipl2026
DS Rathi	0.034449048433268646	-239.93586612308272	-0.7681476049435039	ipl2026
A Badoni	0.03415866724047496	-67.31544097845102	-0.21550840063564147	ipl2026
M Siddharth	0.033742797704280424	36.87696065230071	0.11806050283507599	ipl2026
PD Salt	0.033521230572494835	23.12303934769929	0.07402772908006207	ipl2026
Ashok Sharma	0.03262882443349822	-32.12303934769923	-0.10284096386733259	ipl2026
D Brevis	0.03192065350639497	-87.5026142030676	-0.28013704083699503	ipl2026
TU Deshpande	0.03151687966567411	-176.3743464492331	-0.5646572727436865	ipl2026
Azmatullah Omarzai	0.030749356847005683	-18.187173224616544	-0.05822569913751553	ipl2026
Sandeep Sharma	0.030469539619718166	-65.93586612308277	-0.21109173238960366	ipl2026
B Muzarabani	0.03004174317041225	46.25130710153381	0.14807219674829497	ipl2026
SN Khan	0.02988873910872684	-47.689787427684195	-0.1526774491232106	ipl2026
S Arora	0.029114706057301654	-52.68978742768414	-0.16868480178280526	ipl2026
Gurjapneet Singh	0.027508631384363016	-101.7486928984662	-0.32574544197571226	ipl2026
T Natarajan	0.02700218802972693	-191.9358661230827	-0.6144770194113933	ipl2026
SE Rutherford	0.02530600402105152	-26.064133876917253	-0.08344355654694147	ipl2026
JD Unadkat	0.024590195640054845	-15.748692898466146	-0.05041897623068088	ipl2026
Akash Singh	0.023973214079190158	49.2513071015338	0.15767660834405184	ipl2026
PR Veer	0.023169199555121246	5.374346449233144	0.01720581178554325	ipl2026
Abishek Porel	0.021484743846892043	-11.251307101533769	-0.03602072813113097	ipl2026
KK Ahmed	0.020466928314710874	-81.37434644923309	-0.2605175722113846	ipl2026
Abdul Samad	0.019763867658093345	-68.87696065230068	-0.22050755985648288	ipl2026
Himmat Singh	0.019541264371157344	2.5615196738496735	0.008200629752760414	ipl2026
Ramandeep Singh	0.019375482371510582	-63.25130710153377	-0.2024971957909173	ipl2026
